Id; Source; Target; Weight
"(6, 30, 34, 7, 52, 6, 8, 37, 15)";"(6, 30, 34, 7, 52, 6, 8, 37, 15)";"(30, 34, 7, 52, 6, 8, 37, 15, 8)"; 46
"(30, 34, 7, 52, 6, 8, 37, 15, 37)";"(30, 34, 7, 52, 6, 8, 37, 15, 37)";"(34, 7, 52, 6, 8, 37, 15, 37, 34)"; 11
"(30, 34, 7, 52, 6, 8, 37, 15, 37)";"(30, 34, 7, 52, 6, 8, 37, 15, 37)";"(34, 7, 52, 6, 8, 37, 15, 37, 16)"; 5
"(34, 7, 52, 6, 8, 37, 15, 37, 34)";"(34, 7, 52, 6, 8, 37, 15, 37, 34)";"(7, 52, 6, 8, 37, 15, 37, 34, 16)"; 10
"(34, 7, 52, 6, 8, 37, 15, 37, 34)";"(34, 7, 52, 6, 8, 37, 15, 37, 34)";"(7, 52, 6, 8, 37, 15, 37, 34, 34)"; 1
"(7, 52, 6, 8, 37, 15, 37, 34, 16)";"(7, 52, 6, 8, 37, 15, 37, 34, 16)";"(52, 6, 8, 37, 15, 37, 34, 16, 30)"; 10
"(52, 6, 8, 37, 15, 37, 34, 16, 30)";"(52, 6, 8, 37, 15, 37, 34, 16, 30)";"(6, 8, 37, 15, 37, 34, 16, 30, 7)"; 10
"(6, 8, 37, 15, 37, 34, 16, 30, 7)";"(6, 8, 37, 15, 37, 34, 16, 30, 7)";"(8, 37, 15, 37, 34, 16, 30, 7, 5)"; 11
"(8, 37, 15, 37, 34, 16, 30, 7, 5)";"(8, 37, 15, 37, 34, 16, 30, 7, 5)";"(37, 15, 37, 34, 16, 30, 7, 5, 0)"; 11
"(37, 15, 37, 34, 16, 30, 7, 5, 0)";"(37, 15, 37, 34, 16, 30, 7, 5, 0)";"(15, 37, 34, 16, 30, 7, 5, 0, 4)"; 10
"(37, 15, 37, 34, 16, 30, 7, 5, 0)";"(37, 15, 37, 34, 16, 30, 7, 5, 0)";"(15, 37, 34, 16, 30, 7, 5, 0, 3)"; 1
"(15, 37, 34, 16, 30, 7, 5, 0, 4)";"(15, 37, 34, 16, 30, 7, 5, 0, 4)";"(37, 34, 16, 30, 7, 5, 0, 4, 8)"; 10
"(37, 34, 16, 30, 7, 5, 0, 4, 8)";"(37, 34, 16, 30, 7, 5, 0, 4, 8)";"(34, 16, 30, 7, 5, 0, 4, 8, 8)"; 36
"(34, 16, 30, 7, 5, 0, 4, 8, 8)";"(34, 16, 30, 7, 5, 0, 4, 8, 8)";"(16, 30, 7, 5, 0, 4, 8, 8, 40)"; 65
"(16, 30, 7, 5, 0, 4, 8, 8, 40)";"(16, 30, 7, 5, 0, 4, 8, 8, 40)";"(30, 7, 5, 0, 4, 8, 8, 40, 37)"; 75
"(16, 30, 7, 5, 0, 4, 8, 8, 40)";"(16, 30, 7, 5, 0, 4, 8, 8, 40)";"(30, 7, 5, 0, 4, 8, 8, 40, 34)"; 5
"(30, 7, 5, 0, 4, 8, 8, 40, 37)";"(30, 7, 5, 0, 4, 8, 8, 40, 37)";"(7, 5, 0, 4, 8, 8, 40, 37, 37)"; 87
"(30, 7, 5, 0, 4, 8, 8, 40, 37)";"(30, 7, 5, 0, 4, 8, 8, 40, 37)";"(7, 5, 0, 4, 8, 8, 40, 37, 34)"; 1
"(7, 5, 0, 4, 8, 8, 40, 37, 37)";"(7, 5, 0, 4, 8, 8, 40, 37, 37)";"(5, 0, 4, 8, 8, 40, 37, 37, 41)"; 89
"(5, 0, 4, 8, 8, 40, 37, 37, 41)";"(5, 0, 4, 8, 8, 40, 37, 37, 41)";"(0, 4, 8, 8, 40, 37, 37, 41, 6)"; 89
"(0, 4, 8, 8, 40, 37, 37, 41, 6)";"(0, 4, 8, 8, 40, 37, 37, 41, 6)";"(4, 8, 8, 40, 37, 37, 41, 6, 30)"; 89
"(4, 8, 8, 40, 37, 37, 41, 6, 30)";"(4, 8, 8, 40, 37, 37, 41, 6, 30)";"(8, 8, 40, 37, 37, 41, 6, 30, 7)"; 90
"(4, 8, 8, 40, 37, 37, 41, 6, 30)";"(4, 8, 8, 40, 37, 37, 41, 6, 30)";"(8, 8, 40, 37, 37, 41, 6, 30, 34)"; 1
"(8, 8, 40, 37, 37, 41, 6, 30, 7)";"(8, 8, 40, 37, 37, 41, 6, 30, 7)";"(8, 40, 37, 37, 41, 6, 30, 7, 6)"; 89
"(8, 8, 40, 37, 37, 41, 6, 30, 7)";"(8, 8, 40, 37, 37, 41, 6, 30, 7)";"(8, 40, 37, 37, 41, 6, 30, 7, 44)"; 1
"(8, 40, 37, 37, 41, 6, 30, 7, 6)";"(8, 40, 37, 37, 41, 6, 30, 7, 6)";"(40, 37, 37, 41, 6, 30, 7, 6, 30)"; 89
"(40, 37, 37, 41, 6, 30, 7, 6, 30)";"(40, 37, 37, 41, 6, 30, 7, 6, 30)";"(37, 37, 41, 6, 30, 7, 6, 30, 7)"; 90
"(37, 37, 41, 6, 30, 7, 6, 30, 7)";"(37, 37, 41, 6, 30, 7, 6, 30, 7)";"(37, 41, 6, 30, 7, 6, 30, 7, 44)"; 90
"(37, 41, 6, 30, 7, 6, 30, 7, 44)";"(37, 41, 6, 30, 7, 6, 30, 7, 44)";"(41, 6, 30, 7, 6, 30, 7, 44, 6)"; 90
"(41, 6, 30, 7, 6, 30, 7, 44, 6)";"(41, 6, 30, 7, 6, 30, 7, 44, 6)";"(6, 30, 7, 6, 30, 7, 44, 6, 37)"; 97
"(41, 6, 30, 7, 6, 30, 7, 44, 6)";"(41, 6, 30, 7, 6, 30, 7, 44, 6)";"(6, 30, 7, 6, 30, 7, 44, 6, 7)"; 1
"(6, 30, 7, 6, 30, 7, 44, 6, 37)";"(6, 30, 7, 6, 30, 7, 44, 6, 37)";"(30, 7, 6, 30, 7, 44, 6, 37, 7)"; 97
"(30, 7, 6, 30, 7, 44, 6, 37, 7)";"(30, 7, 6, 30, 7, 44, 6, 37, 7)";"(7, 6, 30, 7, 44, 6, 37, 7, 44)"; 97
"(7, 6, 30, 7, 44, 6, 37, 7, 44)";"(7, 6, 30, 7, 44, 6, 37, 7, 44)";"(6, 30, 7, 44, 6, 37, 7, 44, 6)"; 97
"(6, 30, 7, 44, 6, 37, 7, 44, 6)";"(6, 30, 7, 44, 6, 37, 7, 44, 6)";"(30, 7, 44, 6, 37, 7, 44, 6, 37)"; 97
"(30, 7, 44, 6, 37, 7, 44, 6, 37)";"(30, 7, 44, 6, 37, 7, 44, 6, 37)";"(7, 44, 6, 37, 7, 44, 6, 37, 7)"; 97
"(7, 44, 6, 37, 7, 44, 6, 37, 7)";"(7, 44, 6, 37, 7, 44, 6, 37, 7)";"(44, 6, 37, 7, 44, 6, 37, 7, 52)"; 95
"(7, 44, 6, 37, 7, 44, 6, 37, 7)";"(7, 44, 6, 37, 7, 44, 6, 37, 7)";"(44, 6, 37, 7, 44, 6, 37, 7, 6)"; 2
"(44, 6, 37, 7, 44, 6, 37, 7, 52)";"(44, 6, 37, 7, 44, 6, 37, 7, 52)";"(6, 37, 7, 44, 6, 37, 7, 52, 6)"; 95
"(6, 37, 7, 44, 6, 37, 7, 52, 6)";"(6, 37, 7, 44, 6, 37, 7, 52, 6)";"(37, 7, 44, 6, 37, 7, 52, 6, 30)"; 70
