"(16, 16, 7, 44, 6, 15, 8, 37, 8)","(16, 7, 44, 6, 15, 8, 37, 8, 37)" , 6
"(16, 16, 7, 44, 6, 15, 8, 37, 8)","(16, 7, 44, 6, 15, 8, 37, 8, 8)" , 6
"(16, 7, 44, 6, 15, 8, 37, 8, 37)","(7, 44, 6, 15, 8, 37, 8, 37, 34)" , 15
"(16, 7, 44, 6, 15, 8, 37, 8, 37)","(7, 44, 6, 15, 8, 37, 8, 37, 8)" , 15
"(7, 44, 6, 15, 8, 37, 8, 37, 34)","(44, 6, 15, 8, 37, 8, 37, 34, 8)" , 8
"(7, 44, 6, 15, 8, 37, 8, 37, 34)","(44, 6, 15, 8, 37, 8, 37, 34, 16)" , 8
"(7, 44, 6, 15, 8, 37, 8, 37, 34)","(44, 6, 15, 8, 37, 8, 37, 34, 34)" , 8
"(44, 6, 15, 8, 37, 8, 37, 34, 8)","(6, 15, 8, 37, 8, 37, 34, 8, 37)" , 37
"(44, 6, 15, 8, 37, 8, 37, 34, 8)","(6, 15, 8, 37, 8, 37, 34, 8, 8)" , 37
"(6, 15, 8, 37, 8, 37, 34, 8, 37)","(15, 8, 37, 8, 37, 34, 8, 37, 34)" , 8
"(6, 15, 8, 37, 8, 37, 34, 8, 37)","(15, 8, 37, 8, 37, 34, 8, 37, 35)" , 8
"(6, 15, 8, 37, 8, 37, 34, 8, 37)","(15, 8, 37, 8, 37, 34, 8, 37, 37)" , 8
"(15, 8, 37, 8, 37, 34, 8, 37, 34)","(8, 37, 8, 37, 34, 8, 37, 34, 34)" , 37
"(15, 8, 37, 8, 37, 34, 8, 37, 34)","(8, 37, 8, 37, 34, 8, 37, 34, 8)" , 37
"(15, 8, 37, 8, 37, 34, 8, 37, 34)","(8, 37, 8, 37, 34, 8, 37, 34, 37)" , 37
"(15, 8, 37, 8, 37, 34, 8, 37, 34)","(8, 37, 8, 37, 34, 8, 37, 34, 15)" , 37
"(8, 37, 8, 37, 34, 8, 37, 34, 34)","(37, 8, 37, 34, 8, 37, 34, 34, 34)" , 34
"(8, 37, 8, 37, 34, 8, 37, 34, 34)","(37, 8, 37, 34, 8, 37, 34, 34, 16)" , 34
"(8, 37, 8, 37, 34, 8, 37, 34, 34)","(37, 8, 37, 34, 8, 37, 34, 34, 35)" , 34
"(37, 8, 37, 34, 8, 37, 34, 34, 34)","(8, 37, 34, 8, 37, 34, 34, 34, 34)" , 8
"(37, 8, 37, 34, 8, 37, 34, 34, 34)","(8, 37, 34, 8, 37, 34, 34, 34, 16)" , 8
"(8, 37, 34, 8, 37, 34, 34, 34, 34)","(37, 34, 8, 37, 34, 34, 34, 34, 16)" , 37
"(37, 34, 8, 37, 34, 34, 34, 34, 16)","(34, 8, 37, 34, 34, 34, 34, 16, 7)" , 34
"(37, 34, 8, 37, 34, 34, 34, 34, 16)","(34, 8, 37, 34, 34, 34, 34, 16, 37)" , 34
"(34, 8, 37, 34, 34, 34, 34, 16, 7)","(8, 37, 34, 34, 34, 34, 16, 7, 6)" , 34
"(8, 37, 34, 34, 34, 34, 16, 7, 6)","(37, 34, 34, 34, 34, 16, 7, 6, 30)" , 34
"(8, 37, 34, 34, 34, 34, 16, 7, 6)","(37, 34, 34, 34, 34, 16, 7, 6, 8)" , 34
